&b / °	R_0 / 1/s
2,5	12,0
2,6	10,5
2,7	11,0
2,8	10,3
2,9	9,0
3,0	11,5
3,1	12,0
3,2	16,5
3,3	20,3
3,4	22,5
3,5	29,0
3,6	35,3
3,7	36,5
3,8	33,3
3,9	36,8
4,0	37,3
4,1	34,3
4,2	37,0
4,3	33,5
4,4	30,5
4,5	31,8
4,6	28,0
4,7	24,0
4,8	25,8
4,9	24,3
5,0	20,0
5,1	24,8
5,2	27,0
5,3	21,5
5,4	22,8
5,5	17,8
5,6	19,0
5,7	29,0
5,8	28,0
5,9	27,5
6,0	25,5
6,1	16,8
6,2	26,3
6,3	39,8
6,4	161,3
6,5	236,0
6,6	132,0
6,7	39,0
6,8	43,5
6,9	29,3
7,0	37,3
7,1	29,8
7,2	32,5
7,3	28,0
7,4	30,8
7,5	32,5
7,6	28,3
7,7	28,0
7,8	29,5
7,9	24,5
8,0	27,8
8,1	25,5
8,2	24,5
8,3	19,5
8,4	23,3
8,5	20,8
8,6	21,8
8,7	19,8
8,8	20,5
8,9	22,8
9,0	19,3
9,1	20,5
9,2	21,0
9,3	15,0
9,4	20,3
9,5	21,5
9,6	19,3
9,7	17,3
9,8	17,5
9,9	20,8
10,0	16,0
10,1	22,5
10,2	22,3
10,3	22,0
10,4	14,3
10,5	19,0
10,6	15,5
10,7	21,3
10,8	20,5
10,9	20,3
11,0	20,5
11,1	14,5
11,2	17,5
11,3	20,0
11,4	16,8
11,5	20,3
11,6	17,8
11,7	15,8
11,8	15,3
11,9	19,8
12,0	13,3
12,1	17,0
12,2	15,3
12,3	16,3
12,4	18,8
12,5	17,3
12,6	14,3
12,7	20,8
12,8	17,3
12,9	16,3
13,0	15,0
13,1	16,3
13,2	15,3
13,3	17,3
13,4	15,8
13,5	10,8
13,6	14,5
13,7	14,3
13,8	13,8
13,9	17,0
14,0	15,8
14,1	16,8
14,2	13,8
14,3	15,5
14,4	17,5
14,5	15,0
14,6	13,0
14,7	12,5
14,8	14,0
14,9	12,0
15,0	14,8
15,1	11,3
15,2	8,5
15,3	9,8
15,4	9,3
15,5	12,8
15,6	11,8
15,7	14,8
15,8	10,0
15,9	12,5
16,0	15,5
16,1	10,0
16,2	11,8
16,3	11,3
16,4	10,5
16,5	11,8
16,6	10,0
16,7	9,0
16,8	8,5
16,9	12,8
17,0	9,3
17,1	10,8
17,2	9,5
17,3	14,5
17,4	10,5
17,5	11,8
17,6	8,0
17,7	9,3
17,8	12,8
17,9	13,0
18,0	10,5
18,1	9,0
18,2	11,8
18,3	7,0
18,4	9,8
18,5	10,3
18,6	8,8
18,7	8,3
18,8	8,5
18,9	8,3
19,0	6,5
19,1	9,3
19,2	9,0
19,3	9,8
19,4	9,3
19,5	8,0
19,6	12,8
19,7	26,3
19,8	49,0
19,9	32,8
20,0	15,0
20,1	10,3
20,2	9,8
20,3	9,0
20,4	5,8
20,5	5,8
20,6	6,5
20,7	8,5
20,8	10,0
20,9	7,3
21,0	8,8
21,1	5,3
21,2	5,5
21,3	6,5
21,4	4,8
21,5	5,5
21,6	7,3
21,7	5,5
21,8	4,8
21,9	8,5
22,0	7,3
22,1	6,0
22,2	6,3
22,3	6,0
22,4	7,0
22,5	4,3
22,6	5,8
22,7	7,0
22,8	5,0
22,9	4,5
23,0	6,8
23,1	6,8
23,2	5,5
23,3	6,5
23,4	6,5
23,5	4,3
23,6	6,0
23,7	6,0
23,8	6,3
23,9	6,3
24,0	4,8
24,1	5,0
24,2	5,5
24,3	7,3
24,4	4,5
24,5	4,8
24,6	4,5
24,7	6,5
24,8	4,8
24,9	5,3
25,0	5,5
25,1	7,5
25,2	9,0
25,3	6,3
25,4	5,5
25,5	4,8
25,6	6,0
25,7	5,5
25,8	6,3
25,9	6,0
26,0	4,0
26,1	7,5
26,2	8,0
26,3	7,3
26,4	5,3
26,5	5,8
26,6	6,0
26,7	12,5
26,8	26,0
26,9	24,5
27,0	22,3
27,1	15,3
27,2	7,0
27,3	9,3
27,4	4,0
27,5	5,3
27,6	5,3
27,7	7,3
27,8	5,3
27,9	5,0
28,0	5,3
28,1	2,8
28,2	5,0
28,3	5,5
28,4	3,5
28,5	5,8
28,6	5,8
28,7	3,8
28,8	4,5
28,9	4,3
29,0	4,0
29,1	5,3
29,2	6,8
29,3	4,5
29,4	5,8
29,5	4,8
29,6	5,5
29,7	3,8
29,8	2,8
29,9	4,3
30,0	4,0
30,1	3,0
30,2	5,3
30,3	3,3
30,4	3,3
30,5	3,5
30,6	5,8
30,7	3,0
30,8	3,8
30,9	5,0
31,0	5,8
31,1	4,0
31,2	2,5
31,3	4,3
31,4	3,0
31,5	4,0
31,6	3,5
31,7	3,3
31,8	2,0
31,9	3,3
32,0	5,3
32,1	4,3
32,2	5,8
32,3	3,0
32,4	3,5
32,5	3,0
32,6	1,8
32,7	3,0
32,8	2,3
32,9	3,8
33,0	3,8
33,1	4,0
33,2	2,3
33,3	3,5
33,4	3,0
33,5	3,8
33,6	3,5
33,7	3,8
33,8	3,3
33,9	3,0
34,0	3,3
34,1	3,3
34,2	5,8
34,3	11,5
34,4	11,8
34,5	8,5
34,6	4,8
34,7	6,3
34,8	5,5
34,9	4,3
35,0	3,8
