beta,intensity
2.5,13.3
2.6,11.0
2.7,13.5
2.8,11.0
2.9,10.5
3.0,13.8
3.1,10.5
3.2,10.3
3.3,12.5
3.4,10.8
3.5,14.8
3.6,11.5
3.7,11.3
3.8,14.3
3.9,12.0
4.0,11.8
4.1,10.8
4.2,9.8
4.3,10.3
4.4,13.8
4.5,12.5
4.6,13.8
4.7,13.8
4.8,13.0
4.9,8.5
5.0,12.3
5.1,12.3
5.2,13.0
5.3,13.3
5.4,15.3
5.5,11.3
5.6,14.0
5.7,13.8
5.8,16.0
5.9,17.5
6.0,17.8
6.1,19.5
6.2,21.8
6.3,18.8
6.4,19.8
6.5,20.0
6.6,18.5
6.7,20.3
6.8,21.5
6.9,21.5
7.0,19.5
7.1,17.0
7.2,19.8
7.3,29.3
7.4,33.0
7.5,37.8
7.6,49.8
7.7,62.8
7.8,61.8
7.9,62.8
8.0,62.8
8.1,64.3
8.2,69.8
8.3,64.8
8.4,78.3
8.5,69.5
8.6,67.5
8.7,80.0
8.8,64.5
8.9,60.5
9.0,61.5
9.1,56.5
9.2,59.8
9.3,55.8
9.4,63.3
9.5,61.3
9.6,58.0
9.7,56.0
9.8,57.0
9.9,58.8
10.0,47.5
10.1,50.5
10.2,51.8
10.3,47.8
10.4,53.3
10.5,40.0
10.6,45.0
10.7,43.5
10.8,39.5
10.9,41.5
11.0,35.5
11.1,42.0
11.2,32.0
11.3,36.3
11.4,35.5
11.5,34.8
11.6,25.8
11.7,27.8
11.8,29.3
11.9,30.0
12.0,28.8
12.1,27.3
12.2,24.0
12.3,24.0
12.4,22.0
12.5,19.5
12.6,24.0
12.7,20.0
12.8,18.3
12.9,16.3
13.0,21.5
13.1,22.3
13.2,23.0
13.3,28.8
13.4,27.5
13.5,21.8
13.6,15.0
13.7,16.3
13.8,15.3
13.9,16.5
14.0,18.3
14.1,16.3
14.2,17.3
14.3,13.5
14.4,16.0
14.5,15.3
14.6,23.0
14.7,34.3
14.8,39.0
14.9,101.8
15.0,293.0
15.1,310.3
15.2,138.5
15.3,47.5
15.4,31.3
15.5,29.3
15.6,25.5
15.7,28.8
15.8,30.8
15.9,24.8
16.0,25.0
16.1,24.3
16.2,21.3
16.3,22.5
16.4,26.8
16.5,24.3
16.6,22.8
16.7,21.0
16.8,23.0
16.9,18.5
17.0,22.3
17.1,19.3
17.2,20.0
17.3,20.3
17.4,20.3
17.5,21.0
17.6,19.8
17.7,21.3
17.8,20.3
17.9,12.3
18.0,15.8
18.1,18.3
18.2,15.3
18.3,14.0
18.4,13.8
18.5,11.3
18.6,15.3
18.7,14.3
18.8,14.8
18.9,11.0
19.0,16.5
19.1,14.0
19.2,12.3
19.3,17.5
19.4,16.0
19.5,17.5
19.6,20.5
19.7,15.5
19.8,9.8
19.9,14.3
20.0,8.5
20.1,10.3
20.2,10.8
20.3,11.5
20.4,11.0
20.5,9.3
20.6,10.0
20.7,11.5
20.8,10.8
20.9,11.0
21.0,10.3
21.1,11.3
21.2,8.3
21.3,12.3
21.4,10.8
21.5,11.3
21.6,6.8
21.7,7.8
21.8,8.0
21.9,6.5
22.0,8.3
22.1,8.0
22.2,9.0
22.3,8.3
22.4,9.5
22.5,7.5
22.6,9.8
22.7,7.5
22.8,8.0
22.9,6.5
23.0,9.8
23.1,7.0
23.2,6.3
23.3,7.3
23.4,6.8
23.5,7.5
23.6,7.3
23.7,6.0
23.8,5.8
23.9,8.5
24.0,7.3
24.1,6.5
24.2,7.0
24.3,5.0
24.4,7.8
24.5,7.5
24.6,5.0
24.7,6.3
24.8,6.8
24.9,5.0
25.0,8.3
25.1,3.5
25.2,6.5
25.3,5.8
25.4,6.3
25.5,2.0
25.6,6.0
25.7,5.0
25.8,6.5
25.9,5.5
26.0,5.5
26.1,7.0
26.2,3.5
26.3,5.0
26.4,5.0
26.5,6.3
26.6,7.0
26.7,5.3
26.8,5.8
26.9,7.3
27.0,6.3
27.1,5.8
27.2,7.5
27.3,7.8
27.4,8.3
27.5,13.5
27.6,33.3
27.7,20.0
27.8,13.0
27.9,7.5
28.0,5.0
28.1,6.0
28.2,5.5
28.3,5.5
28.4,7.5
28.5,6.3
28.6,5.0
28.7,5.0
28.8,4.3
28.9,4.5
29.0,5.3
29.1,4.5
29.2,3.3
29.3,5.0
29.4,4.0
29.5,5.8
29.6,2.5
29.7,2.8
29.8,5.8
29.9,7.3
30.0,4.3
30.1,4.8
30.2,3.0
30.3,5.0
30.4,4.3
30.5,6.0
30.6,8.3
30.7,5.5
30.8,6.5
30.9,9.3
31.0,6.5
31.1,7.0
31.2,19.0
31.3,53.5
31.4,64.8
31.5,49.0
31.6,37.5
31.7,16.5
31.8,6.5
31.9,7.0
32.0,4.3
32.1,7.5
32.2,5.5
32.3,3.0
32.4,5.3
32.5,3.8
32.6,4.3
32.7,5.0
32.8,6.0
32.9,5.3
33.0,5.0
33.1,3.8
33.2,8.0
33.3,5.5
33.4,3.3
33.5,5.0
33.6,3.5
33.7,6.0
33.8,4.8
33.9,7.8
34.0,4.5
34.1,3.0
34.2,3.5
34.3,6.0
34.4,3.0
34.5,3.5
34.6,3.5
34.7,5.5
34.8,4.5
34.9,4.5
35.0,5.3
