beta,intensity
2.5,9.0
2.6,14.0
2.7,10.0
2.8,7.0
2.9,11.5
3.0,15.3
3.1,20.0
3.2,29.3
3.3,30.8
3.4,35.3
3.5,31.8
3.6,38.0
3.7,78.3
3.8,125.5
3.9,143.3
4.0,145.3
4.1,123.8
4.2,122.3
4.3,107.5
4.4,107.8
4.5,88.5
4.6,77.0
4.7,77.5
4.8,69.3
4.9,52.5
5.0,53.5
5.1,52.8
5.2,58.3
5.3,72.3
5.4,63.8
5.5,45.0
5.6,33.3
5.7,45.8
5.8,159.5
5.9,685.0
6.0,1163.5
6.1,829.3
6.2,294.3
6.3,165.8
6.4,124.0
6.5,106.3
6.6,104.0
6.7,102.8
6.8,86.0
6.9,87.3
7.0,84.5
7.1,71.3
7.2,68.0
7.3,55.3
7.4,52.3
7.5,66.8
7.6,72.0
7.7,65.3
7.8,62.3
7.9,55.3
8.0,52.0
8.1,53.5
8.2,43.8
8.3,41.0
8.4,39.8
8.5,42.3
8.6,42.0
8.7,38.3
8.8,35.0
8.9,32.3
9.0,34.5
9.1,28.0
9.2,33.8
9.3,28.8
9.4,28.5
9.5,28.0
9.6,28.8
9.7,27.0
9.8,25.8
9.9,27.3
10.0,31.3
10.1,23.3
10.2,27.3
10.3,20.5
10.4,24.8
10.5,22.0
10.6,28.3
10.7,31.3
10.8,28.8
10.9,25.8
11.0,19.5
11.1,17.0
11.2,20.0
11.3,22.3
11.4,23.5
11.5,28.3
11.6,32.0
11.7,31.8
11.8,42.3
11.9,62.3
12.0,192.5
12.1,308.5
12.2,217.8
12.3,86.0
12.4,43.3
12.5,42.8
12.6,41.5
12.7,35.8
12.8,34.5
12.9,33.3
13.0,34.5
13.1,36.5
13.2,32.3
13.3,29.3
13.4,33.5
13.5,30.0
13.6,26.0
13.7,27.3
13.8,27.8
13.9,24.5
14.0,25.0
14.1,23.3
14.2,27.5
14.3,23.0
14.4,20.8
14.5,20.8
14.6,21.3
14.7,21.5
14.8,19.8
14.9,18.3
15.0,19.5
15.1,17.8
15.2,18.5
15.3,21.0
15.4,22.8
15.5,17.8
15.6,21.8
15.7,17.5
15.8,18.3
15.9,23.0
16.0,19.0
16.1,18.5
16.2,20.8
16.3,25.0
16.4,16.8
16.5,17.8
16.6,16.5
16.7,17.3
16.8,17.0
16.9,16.0
17.0,22.0
17.1,15.8
17.2,15.5
17.3,14.5
17.4,16.3
17.5,17.5
17.6,15.0
17.7,18.8
17.8,21.3
17.9,25.8
18.0,20.8
18.1,29.0
18.2,95.0
18.3,166.0
18.4,128.8
18.5,60.8
18.6,25.0
18.7,23.5
18.8,20.3
18.9,16.0
19.0,18.0
19.1,16.8
19.2,20.0
19.3,18.5
19.4,16.0
19.5,18.5
19.6,13.3
19.7,20.3
19.8,16.8
19.9,14.3
20.0,16.0
20.1,18.5
20.2,12.5
20.3,13.0
20.4,16.0
20.5,14.3
20.6,14.5
20.7,13.3
20.8,14.8
20.9,17.5
21.0,15.3
21.1,14.0
21.2,12.8
21.3,15.8
21.4,13.0
21.5,11.8
21.6,12.3
21.7,12.3
21.8,15.5
21.9,16.5
22.0,16.3
22.1,12.0
22.2,12.8
22.3,11.8
22.4,11.5
22.5,16.3
22.6,11.0
22.7,12.0
22.8,14.0
22.9,11.0
23.0,13.8
23.1,11.8
23.2,12.5
23.3,12.5
23.4,10.3
23.5,15.0
23.6,14.8
23.7,13.0
23.8,13.3
23.9,12.3
24.0,13.3
24.1,12.3
24.2,12.3
24.3,14.5
24.4,14.8
24.5,18.8
24.6,43.8
24.7,73.0
24.8,74.0
24.9,52.5
25.0,26.3
25.1,18.5
25.2,19.3
25.3,12.8
25.4,14.5
25.5,14.0
25.6,13.8
25.7,16.0
25.8,16.0
25.9,13.5
26.0,13.0
26.1,13.0
26.2,12.3
26.3,10.3
26.4,11.5
26.5,13.0
26.6,12.3
26.7,12.5
26.8,13.5
26.9,12.8
27.0,13.3
27.1,14.0
27.2,11.8
27.3,9.5
27.4,13.5
27.5,9.8
27.6,10.5
27.7,11.5
27.8,16.5
27.9,14.5
28.0,13.0
28.1,12.8
28.2,10.3
28.3,14.0
28.4,10.3
28.5,12.8
28.6,13.5
28.7,10.3
28.8,14.5
28.9,15.0
29.0,14.5
29.1,11.3
29.2,13.8
29.3,10.8
29.4,15.0
29.5,12.0
29.6,15.3
29.7,12.5
29.8,12.0
29.9,11.8
30.0,14.3
30.1,7.8
30.2,10.3
30.3,10.8
30.4,12.8
30.5,14.0
30.6,12.5
30.7,14.0
30.8,13.8
30.9,12.5
31.0,13.8
31.1,12.5
31.2,14.3
31.3,11.8
31.4,17.8
31.5,25.3
31.6,25.8
31.7,21.0
31.8,15.3
31.9,12.5
32.0,13.8
32.1,10.0
32.2,10.0
32.3,14.0
32.4,13.0
32.5,10.3
32.6,14.0
32.7,11.0
32.8,11.5
32.9,11.0
33.0,12.0
33.1,14.3
33.2,13.5
33.3,12.8
33.4,11.3
33.5,12.0
33.6,12.3
33.7,13.0
33.8,12.3
33.9,12.8
34.0,12.3
34.1,13.0
34.2,11.8
34.3,10.5
34.4,11.8
34.5,10.8
34.6,11.0
34.7,11.8
34.8,9.3
34.9,13.0
35.0,13.5
