beta,intensity
2.5,8.8
2.6,10.3
2.7,12.5
2.8,12.8
2.9,11.3
3.0,10.8
3.1,10.3
3.2,14.5
3.3,18.8
3.4,34.3
3.5,117.0
3.6,159.3
3.7,391.8
3.8,471.5
3.9,542.3
4.0,537.3
4.1,578.3
4.2,590.8
4.3,608.0
4.4,574.8
4.5,536.3
4.6,536.5
4.7,512.8
4.8,472.8
4.9,455.8
5.0,442.3
5.1,371.8
5.2,352.8
5.3,327.8
5.4,292.5
5.5,262.3
5.6,254.3
5.7,231.3
5.8,207.5
5.9,181.0
6.0,182.3
6.1,168.3
6.2,196.0
6.3,238.0
6.4,215.5
6.5,128.5
6.6,106.8
6.7,111.3
6.8,192.5
6.9,460.5
7.0,1380.0
7.1,2689.8
7.2,2767.0
7.3,1547.8
7.4,718.5
7.5,510.8
7.6,415.0
7.7,345.3
7.8,340.3
7.9,306.0
8.0,284.5
8.1,271.3
8.2,268.5
8.3,242.5
8.4,231.8
8.5,208.0
8.6,198.3
8.7,186.5
8.8,183.3
8.9,169.5
9.0,158.8
9.1,138.3
9.2,139.5
9.3,131.8
9.4,105.8
9.5,113.0
9.6,99.0
9.7,88.3
9.8,85.8
9.9,84.3
10.0,75.8
10.1,77.5
10.2,70.3
10.3,66.8
10.4,61.0
10.5,55.3
10.6,55.0
10.7,51.8
10.8,49.5
10.9,48.8
11.0,50.5
11.1,47.3
11.2,44.5
11.3,44.0
11.4,42.3
11.5,40.5
11.6,47.3
11.7,41.3
11.8,33.3
11.9,39.8
12.0,40.8
12.1,40.8
12.2,40.3
12.3,35.3
12.4,34.0
12.5,32.8
12.6,43.0
12.7,44.0
12.8,59.8
12.9,59.8
13.0,39.8
13.1,30.3
13.2,33.0
13.3,28.8
13.4,33.8
13.5,28.8
13.6,30.5
13.7,31.8
13.8,27.3
13.9,29.3
14.0,41.8
14.1,54.0
14.2,82.3
14.3,150.0
14.4,447.0
14.5,719.0
14.6,511.3
14.7,207.8
14.8,89.0
14.9,64.5
15.0,62.0
15.1,55.8
15.2,54.8
15.3,47.8
15.4,50.3
15.5,44.0
15.6,48.8
15.7,40.8
15.8,40.3
15.9,46.5
16.0,36.0
16.1,31.8
16.2,38.0
16.3,42.5
16.4,38.0
16.5,33.3
16.6,31.0
16.7,33.3
16.8,29.8
16.9,27.0
17.0,30.5
17.1,26.8
17.2,30.0
17.3,24.3
17.4,24.5
17.5,26.0
17.6,20.8
17.7,20.0
17.8,25.0
17.9,18.8
18.0,22.8
18.1,18.0
18.2,16.3
18.3,17.3
18.4,18.8
18.5,17.8
18.6,19.0
18.7,16.5
18.8,16.0
18.9,13.5
19.0,12.8
19.1,12.3
19.2,13.3
19.3,13.3
19.4,16.3
19.5,14.8
19.6,19.0
19.7,12.8
19.8,11.3
19.9,11.3
20.0,9.5
20.1,10.3
20.2,9.3
20.3,9.3
20.4,9.0
20.5,12.8
20.6,7.0
20.7,6.8
20.8,7.3
20.9,8.3
21.0,7.8
21.1,8.3
21.2,13.8
21.3,8.3
21.4,12.3
21.5,13.8
21.6,15.3
21.7,19.8
21.8,21.5
21.9,54.5
22.0,127.8
22.1,151.3
22.2,102.3
22.3,49.3
22.4,19.8
22.5,19.3
22.6,16.8
22.7,10.3
22.8,14.5
22.9,15.8
23.0,13.5
23.1,11.3
23.2,13.3
23.3,13.0
23.4,12.0
23.5,13.8
23.6,6.8
23.7,10.3
23.8,11.3
23.9,11.5
24.0,10.0
24.1,11.5
24.2,10.8
24.3,8.8
24.4,10.8
24.5,9.5
24.6,12.0
24.7,7.3
24.8,10.3
24.9,9.3
25.0,8.3
25.1,9.8
25.2,7.5
25.3,9.0
25.4,8.0
25.5,10.5
25.6,7.5
25.7,5.3
25.8,8.5
25.9,6.0
26.0,5.3
26.1,4.5
26.2,6.8
26.3,8.0
26.4,7.5
26.5,8.0
26.6,7.0
26.7,5.5
26.8,5.0
26.9,6.0
27.0,7.3
27.1,7.8
27.2,3.8
27.3,7.0
27.4,3.5
27.5,4.8
27.6,6.3
27.7,5.8
27.8,4.5
27.9,5.3
28.0,6.5
28.1,4.5
28.2,5.5
28.3,6.5
28.4,5.0
28.5,5.3
28.6,4.5
28.7,4.8
28.8,4.3
28.9,8.5
29.0,5.8
29.1,4.8
29.2,6.3
29.3,5.8
29.4,5.8
29.5,6.8
29.6,7.5
29.7,5.0
29.8,9.0
29.9,13.5
30.0,24.5
